A deep understanding of AI large language model mechanisms,,,,
Section name,Video lecture title,Python code file name,Udemy video #,Key take-home points
Identifying circuits and components,"What is a ""circuit"" in a DL model?",-,234,"There is no single widely agreed-upon definition of a “circuit” in complex systems.
Working definitions allow for organizing data investigation techniques, but should not be interpreted too restrictively."
,Isolating and investigating attention heads,part5_circuits_attentionHeads,235,"Attention is highly selective; selectivity is created by having many negative attention scores.
Isolating and studying LLM components (e.g., attention heads) opens doors for insights and additional analyses.
KDE is a useful technique for estimating smooth pdf’s from sparse data, with applications in ML, signal processing, finance, Gaussian/stochastic processes."
,CodeChallenge: Laminar profile of attention head weights,part5_circuits_CCattentionDists,236,"Attention weights tend to be sparse, with most token pairs having low attention weights and few large weights.
More token pairs have higher attention weights towards later layers, as the model transitions to its final token predictions.
KDE is a non-parametric frequency estimator with many applications in many domains, and facilitates clear data visualization."
,Are circuits clustered in low-dimensional space?,part5_circuits_clustering,237,"Alexander Graham Bell: ""there are no unsuccessful experiments; every experiment contains a lesson.""
Research and theory development require knowing what works and what doesn’t work.
Dimension compression and clustering methods are useful for many analyses."
,Sparse probing: theory and code,part5_circuits_sparseLinearProbing,238,"Sparse probing is an interesting statistical approach to a small number of variables that predict a label.
There are several issues with logistic regression in large datasets with strong inter-variable correlations (multicollinearity); see next video.
Sparse probing is probably best done with a small subset of neurons."
,Challenges with sparse logistic regression in large datasets,part5_circuits_logisticRegressionChallenges,239,"Sparse logistic regression predicts labels; redundant information across variables may be suppressed even if those variables are individually meaningfully.
Selecting a smaller number of variables for the analysis can ameliorate the situation, but data selection can also introduce biases and other limitations."
,"""Latent"" vs. ""manifest"" variables",-,240,"Latent variables are often the most important to understand, yet cannot be directly observed.
Manifest variables can be combined in many ways to estimate latent factors.
Latent estimation is statistical and therefore involves uncertainty. Ground truth can be difficult or impossible to verify."
,Sparse autoencoders: theory and code,part5_circuits_SAEdemo,241,"Autoencoders are nonlinear compression methods that can find patterns distributed across manifest variables.
Interpreting autoencoder results can be challenging without ground truth, careful experiments with good controls, and statistical confirmations.
Simulating data is an effective way to explore the accuracy and robustness of analysis methods, because they provide ground-truth comparisons and ability to manipulate noise, sample size, and other parameters."
,SAE in GPT2 learns about Hungarian Palinka,part5_circuits_SAEinGPT2,242,"Autoencoders are a powerful architecture in DL, with applications in compression, denoising, computer vision — and interpretability.
Choosing a latent component for interpretation is challenging, because there are so many and they are not intrinsically sortable (cf PCA). Quantitative analyses and test datasets are necessary."
,CodeChallenge: Laminar profile of autoencoder sparsity,part5_circuits_CCSAElaminarProfile,243,"Laminar profiles of coarse-grained characteristics can be insightful, and complement in-depth analyses.
Activation density increases with transformer layer, indicating increasing complexity and distributed representations, consistent with dimensionality analyses.
Sparse autoencoders can be sensitive to parameter settings."
,Non-orthogonal latent components via eigendecomposition (theory and demo),part5_circuits_GEDdemo,244,"Generalized eigendecomposition is a powerful and method for revealing subtle patterns embedded in multivariate data. It is used in signal processing, neuroscience, and machine-learning (e.g., Fisher discriminant analysis).
The application of GED to LLM data require additional considerations, but can lead to network discovery and novel insights."
,"Generalized eigendecomposition separates ""him"" from ""her"" in MLP",part5_circuits_GEDinGPT,245,"GED is a powerful and targeted method to identify latent components (weighted combinations of neurons) in data with distributed representations.
Some considerations are required for very large datasets, such as preselection or PCA-compression.
GED risks overfitting training data; additional statistical confirmations are necessary."
,CodeChallenge: GED for category isolation across layers (part 1),part5_circuits_CClaminarOutOfSampleGED,246,"Analyzing complex systems can be tricky; take it one step at a time.
GED is a powerful, flexible, and targeted method of identifying patterns embedded in multidimensional datasets.
Some results (e.g., effective dimensionality) emerge from other analyses, and provide opportunities for replication, extension, and linking to other literatures."
,CodeChallenge: GED for category isolation across layers (part 2),part5_circuits_CClaminarOutOfSampleGED,247,"Analyzing complex systems can be tricky; take it one step at a time.
GED is a powerful, flexible, and targeted method of identifying patterns embedded in multidimensional datasets.
Some results (e.g., effective dimensionality) emerge from other analyses, and provide opportunities for replication, extension, and linking to other literatures."
Part 6: Intervention (causal) mech interp,,,,
How to modify activations,Introduction to causal mech interp,-,249,"Causal mechanistic interpretability involves altering model activations during inference or training.
It can be used to replace activations with another value or add noise, and evaluate counterfactuals (how the model would have behaved if the internals were different).
There are so ways to manipulate and measure activation patterns; having clear hypotheses is helpful.
Null effects in causality experiments can be difficult to interpret, because of distributed representations and compensation."
,Activation editing: Code implementations,part6_how2modify_activationManipulation,250,"Manipulating model activations is easy and only a minor change from measuring activations.
Some care needs to be taken to ensure code accuracy.
Incorporating print statements and other sanity-checks during development is recommended."
,"CodeChallenge: replacing attention, MLP, and hidden states",part6_how2modify_CCchangingActivations,251,"Always visualize, print, and anything else to sanity-check that your code works as intended, before using it for research.
Different layers of the model require different code approaches because variable types can differ.
Changing activations in one layer impacts later layers, which can impact the final model output."
Editing hidden states,Downstream impact of early layer scaling,part6_hiddenStates_scalingImpact,252,"Hooking is fun :D
The activations without any interference can be used as comparisons for qualitative and quantitative evaluations of causal interventions.
Early modifications can have compounding impacts on downstream layers, though they are somewhat corrected for in the final transformer block."
,CodeChallenge: Hidden-state scaling and token loss,part6_hiddenStates_CCscalingTargetLoss,253,"Having the unedited internal activations provides a baseline reference to evaluate the impact of manipulations.
Interpreting model output behavior (token selection) has high application value and validity, and should complement more detailed circuit-level analyses.
Global scaling has minimal impact on next-token prediction, and can make the model less variable (akin to temperature in softmax)."
,CodeChallenge: Noisy and shuffled BERT predictions,part6_hiddenStates_CCbertNoisyPredictions,254,"Randomly shuffling dimensions is catastrophic to model performance.
Noisifying activations reduces their fidelity and increases stochasticity (token selection uncertainty).
Added noise from a different distribution might be valid. The signal vs. noise characteristics of LLM activations are not fully understood."
,CodeChallenge: Measure and correct BERT's bias,part6_hiddenStates_CCbertBiases,255,"Complex systems like LLMs are easy to adjust in specific examples, but difficult to adjust for all possible examples (including generative text that doesn’t yet exist).
Averaging embeddings vectors assumes linearity, but internal representations might be nonlinear — and the geometry might be layer-specific.
The success of linear mixing does imply that linear approximations are valid and useful."
,Activation patching with indirect object identification,part6_hiddenStates_patchingIOI,256,"“Activation patching” involves replacing activations from one sequence with those from another.
The indirect object identification test assesses a model’s ability to “copy” grammatical and direct-object information into a next-token prediction.
IOI results reveal a sudden transition in context processing around halfway through the model."
,Skip a layer,part6_hiddenStates_skipAlayer,257,"The input into transformer block t is the output of block t-1. You can replace the output with the input to skip an entire transformer layer.
This is a rather crude manipulation that is unlikely to reveal detailed insights, but does help understand the mechanics of working with hook functions."
Interfering with attention ,Head ablation and token prediction,part6_attention_ablateHeadTokenPrediction,258,"Yet again: manipulating LLM dynamics (here, layer-specific attention head activations) during inference is easy.
The target logits were suppressed, although the model still produced the categorically correct answer. In a complex, stochastic system, categorical accuracy may be too insensitive to be the sole metric.
Replacing an entire head with zeros may seem like it is out-of-distribution, but that needs to be empirically evaluated."
,CodeChallenge: Token prediction after head ablations (part 1),part6_attention_CCtokenPredictionHeads,259,"There are many terms for the action of changing an activation value during forward pass (e.g., ablate, edit, impute, intervene, replace). Terminology tends to settle as fields mature and develop.
Small changes in manipulations (e.g., replacing with zeros vs. mean) can have inconsequential or significant downstream impacts. Such “deterministic chaos” is a hallmark of complex systems."
,CodeChallenge: Token prediction after head ablations (part 2),part6_attention_CCtokenPredictionHeads,260,"There are many terms for the action of changing an activation value during forward pass (e.g., ablate, edit, impute, intervene, replace). Terminology tends to settle as fields mature and develop.
Small changes in manipulations (e.g., replacing with zeros vs. mean) can have inconsequential or significant downstream impacts. Such “deterministic chaos” is a hallmark of complex systems."
,Impact of head-silencing on cosine similarity,part6_attention_silencingCosineSimilarity,261,"Attention adjustments can have complicated downstream impacts at multiple scales of LLM calculations and representations.
Deeper insights into LLM mechanisms will come from incorporating multiple measurements into research."
,CodeChallenge: Does GPT2 like pineapple pizza?,part6_attention_CCpineapplePizza,262,Causal mechanistic interpretability research can be extremely precise and detailed. It’s a good idea to start with hypotheses to help guide your manipulations and measurements.
,Attention head patching in IOI,part6_attention_IOI,263,"You can create and remove hooks on the fly as needed, not only when importing the model.
The IOI experiment is amenable to precise manipulations, including combinations of manipulations at different scales and locations of the model.
Attention heads provide only a minor adjustment to the embeddings vectors, and therefore their contribution to complex language tasks is important but subtle."
,CodeChallenge: Head and token patching in IOI,part6_attention_CCperHeadIOI,264,"Hooks can be created, implanted, and removed anywhere in the experiment. Let your hypothesis and experiment design guide the best coding strategy, not the other way around.
The more targeted the manipulation, the smaller the effect is likely to be. Make sure to have enough data (100s or 1000s of samples) to perform statistics and be confident about the results."
Modifying MLP,Successive median-replacement of MLP neurons,part6_mlp_replacement,265,"The MLP expansion layer is very high-dimensional; statistical strategies are necessary to avoid dimensional-explosion problems.
The similarity between 10% vs. 90% replacement suggests that only a few high-activation neurons carry a lot of information."
,Statistics-based lesioning MLP neurons,part6_mlp_ttest2ablateMLP,266,"Using independent tests to select model features (neurons or dimensions) to manipulate is a useful way to deal with the “dimensionality explosion” problem.
Hook functions are versatile and can incorporate analyses — but keep in mind that complicated analyses will slow down the forward pass."
,CodeChallenge: Laminar profile of MLP t-lesions,part6_mlp_CCstatsMLPlaminar,267,"Using independent data to select neurons (or other model components) for manipulation can help prevent biased results.
Having good hypotheses, a controlled experiment, and targeted analyses does not guarantee positive results, especially with small sample sizes."
,Explorations in subspace removal,part6_mlp_removeSubspace,268,
Part 7: Python tutorial,,,,
Python intro: Colab and notebooks,"Creating, working with, and saving Colab notebooks",-,270,
Python intro: Data types,Arithmetic and comments,datatypes,271,
,Variables,datatypes,272,
,Lists,datatypes,273,
,Booleans,datatypes,274,
,Dictionaries,datatypes,275,
Python intro: Indexing and slicing,Indexing,indexSlice,276,
,Slicing,indexSlice,277,
Python intro: Functions,Inputs and outputs,functions,278,
,The numpy library,functions,279,
,Getting help on functions,functions,280,
,Creating functions,functions,281,
,Copying (duplicating) variables,functions,282,
,Generating random numbers,functions,283,
Python intro: Flow control,For loops,flowControl,284,
,If-else statements,flowControl,285,
,List comprehension (single-line loops),flowControl,286,
,Initializing variables,flowControl,287,
,Enumerate iterables,flowControl,288,
,Zip multiple iterables,flowControl,289,
Python intro: Data visualization,Plotting dots and lines,visualization,290,
,Subplot geometry,visualization,291,
,Making graphs look nice,visualization,292,
Python intro: Strings and texts,String interpolation and f-strings,text,293,
,Importing text from the web,text,294,
,Processing text,text,295,
Python intro: Pytorch,Working with classes,pytorch,296,
,Creating custom classes,pytorch,297,
,"Datatypes, tensors, and dimensions",pytorch,298,
,Reshaping tensors,pytorch,299,
,Random numbers,pytorch,300,
Part 8: Deep learning intro,,,,
Math of deep learning,Terms and datatypes in math and computers,-,302,"Some important terms in linear algebra and python include scalar, vector, matrix, and tensor.
There are ""types"" of numbers and variables, which can have different meanings in math vs. coding."
,Vector and matrix transpose,part8_math_transpose,303,"""Transpose"" is an operation in linear algebra that involves swapping rows and columns in a vector or matrix.
It's used a lot in linear algebra and deep learning, as you'll see in the next several videos."
,Linear weighted combinations,part8_math_linWeightedCombo,304,"Linear weighted combinations are simple yet foundational in deep learning (and countless other applications!).
Non-zero means do not necessarily bias the results.
Simulating data and examining distributions can be very insightful when learning math."
,The dot product ,part8_math_dotProduct,305,"There are several notations of the dot product.
“Dot product” is just a fancy term for linear weighted combination.
Libraries have built-in functions to calculate the dot product.
PyTorch is more sensitive to datatypes than is numpy (a common source of errors!)."
,Matrix multiplication ,part8_math_matrixMultiplication,306,"Matrix multiplication is valid only when “inner” matrix dimensions match.
Matrix multiplication is just an organized collection of dot products.
There are multiple ways to calculate matrix multiplication in numpy and pytorch.
PyTorch functions can be sensitive to datatype."
,Softmax,part8_math_softmax,307,"""Softmax"" is a mathematical operation used in deep learning to transform a set of numbers (often called ""logits"") into probabilities.
Softmax is a nonlinear transformation. Inputs can be negative, but all outputs are positive.
Language models use softmax to help select tokens (subwords)."
,Logarithms,part8_math_log,308,"The logarithm is a nonlinear transformation of positive-valued numbers.
It is often used in machine-learning and optimization to ""stretch out"" small numbers such as p-values."
,Entropy and cross-entropy,part8_math_entropy,309,"Entropy is a mathematical measures of the ""surprise"" or unexpectedness of a system. It can be used as a measure of nonlinear variability.
In deep learning, entropy and cross-entropy are used as error signals to train language models to select words that are consistent with human text."
,Min/max and argmin/argmax,part8_math_argmin,310,"Min and max refer to the smallest (most negative) and largest values in a vector or matrix.
The ""arg"" prefix refers to the index in the matrix where the extreme value was observed."
,Mean and variance,part8_math_meanvar,311,"The mean is the average of a collection of numbers (sum divided by count). It is used as a measure of the most typical or representative number.
Variance is the amount of dispersion in the data. Larger variance means the data values are more spread out around the mean."
,Random sampling and sampling variability,part8_math_sampling,312,"Repeatedly taking data from a population will give different results. This is called ""sampling variability.""
Sampling variability is a foundation of statistics, and is used in language modeling to probabilistically select from among the most likely next tokens."
,The t-test,part8_math_ttest,313,"The t-test is a statistical evaluation that indicates whether the average of one group is different from the average of another group.
The t-test has countless applications; in this course, we'll use the t-test when evaluating model performance and investigating circuits and mechanisms in attention layers."
,Derivatives: intuition and polynomials,part8_math_derivatives1,314,"A derivative describes how a function changes. There are analytic (pure math) techniques for finding the derivative of a function, but you can also approximate it by calculating differences between neighboring points of a function.
Among other uses, derivatives are used to find the minimum values of a function.
Derivatives are central to training a language model: Represent the model's error as a loss function, calculate its derivative, and then use the derivative to find the model parameters that minimize the error."
,Derivatives find minima,-,315,"Because the derivative indicates whether a function is increasing or decreasing, it can be used to point towards function minima.
In deep learning including large language models, the functions and their derivatives are simple, but have so many variables that they cannot be fully calculated analytically. Therefore, estimation methods like gradient descent are used to find minima.
There are some potentially difficult issues like local minima and vanishing gradients; modern techniques have some ways of avoiding these kinds of issues to help obtain good models."
,Derivatives: product and chain rules,part8_math_derivatives2,316,"This video introduces two differentiation techniques for multiplied (product rule) and compound (chain rule) functions. Pytorch handles the implementational details of differentiation, but understanding more about derivatives will help you understand backprop."
How models learn: gradient descent,Overview of gradient descent,-,317,"Gradient descent is the core algorithm that powers deep learning, by iteratively finding weights (parameters) that allow the model to learn structure in text data to classify and generate new text.
A ""gradient"" is another word for the derivative, and thus, gradient descent simply involves calculating the local derivative of the loss function, and nudging the weights in the direction that decreases the loss.
There are some modern techniques to help gradient descent perform well in large models, but the core method hasn't really changed in decades."
,What about local minima?,-,318,"The optimization goal of training deep learning models is to find the *global* minimum of the error function, but gradient descent can get caught in *local* minima.
Although this can be problematic in relatively small models, large network models rarely suffer from local minima, in part because there are so few (most apparent local minima are actually saddle points, where the function can go down a different direction).
Modern optimizers such as Adam can adaptively navigate other potential issues such as vanishing gradients."
,Gradient descent in 1D,part8_gradientDescent_1D,319,"Gradient descent in a 1D (single-variable) function provides a great visual intuition for how and why gradient decent works.
This demo also reveals why gradient descent is not guaranteed to provide the global optimal solution (although it will be a good approximation given some assumptions)."
,Gradient descent in 2D,part8_gradientDescent_2D,320,"This videos shows how gradient descent is extended from 1D (single-variable function) to 2D (two-variable function). The principles and the math are the same, but the implementation and possibile outcomes are slightly more complicated."
,CodeChallenge: fixed vs. dynamic learning rate,part8_gradientDescent_CClearningrate,321,Here you will explore the impact of learning rate regimes on model performance.
Essence of deep learning modeling,The perceptron and ANN architecture,-,322,"All deep learning models are built on the same foundational principles, which are many decades old.
New advances in hardware, datasets, and some architectural and regularization methods have allowed modern deep learning networks like LLMs to become impressively capable.
But understanding the ""essence"" of deep learning models as a perceptron will really help you learn about LLM mechanics."
,A geometric view of ANNs,-,323,"Deep learning models can be conceptualized using geometry. This helps build intuition, although the visualizations don't always generalize to really large models."
,ANN math part 1 (forward prop),-,324,Learn the math of the forward pass (hint: it's just a linear weighted combination + nonlinear activation).
,"ANN math part 2 (errors, loss, cost)",-,325,"In this video, you'll learn about losses and costs -- the functions that deep learning models try to minimize during training."
,ANN math part 3 (backprop),-,326,The math of backprop.
,Forward pass in Pytorch,part8_essence_forwardpass,327,"Even the most complicated language models are simply dot product-calculators.
Models are created using classes and PyTorch methods.
“Tokenization” is the process of transforming text into numbers.
Models are useless without properly defined weights!"
,Backprop in Pytorch,part8_essence_backprop,328,"PyTorch handles the low-level details of back-propagation.
Small, simple models that have analytic solutions and can be visualized are great for building intuition."
